# time_s,x_m,y_m,psi_rad,delta_rad,vx_mps,ax_mps2
3.370000,-2.707674,-4.855589,1.350313,-0.126119,4.159784,3.316695
3.380000,-2.696542,-4.807992,1.331894,-0.121394,4.196170,3.452815
3.390000,-2.684552,-4.760605,1.314184,-0.116644,4.233770,3.592133
3.400000,-2.671742,-4.713434,1.297192,-0.111862,4.272591,3.738461
3.410000,-2.658149,-4.666480,1.280924,-0.107032,4.312625,3.896626
3.420000,-2.643811,-4.619749,1.265386,-0.102141,4.353862,4.071454
3.430000,-2.628766,-4.573242,1.250586,-0.097179,4.396323,4.264869
3.440000,-2.613052,-4.526957,1.236530,-0.092160,4.440161,4.466665
3.450000,-2.596705,-4.480891,1.223226,-0.087101,4.485562,4.663467
3.460000,-2.579765,-4.435040,1.210680,-0.082021,4.532711,4.841900
3.470000,-2.562269,-4.389400,1.198894,-0.076949,4.581722,4.990386
3.480000,-2.544252,-4.343965,1.187845,-0.071960,4.632327,5.106693
3.490000,-2.525748,-4.298724,1.177499,-0.067149,4.684134,5.191608
3.500000,-2.506794,-4.253672,1.167826,-0.062608,4.736754,5.245918
3.510000,-2.487421,-4.208798,1.158793,-0.058413,4.789806,5.271226
3.520000,-2.467659,-4.164095,1.150370,-0.054519,4.842977,5.274399
3.530000,-2.447535,-4.119553,1.142531,-0.050835,4.895980,5.264397
3.540000,-2.427072,-4.075165,1.135247,-0.047267,4.948529,5.250188
3.550000,-2.406299,-4.030922,1.128493,-0.043730,5.000368,5.239971
3.560000,-2.385239,-3.986813,1.122270,-0.040174,5.051469,5.235721
3.570000,-2.363918,-3.942830,1.116588,-0.036569,5.101921,5.236376
3.580000,-2.342359,-3.898963,1.111460,-0.032887,5.151811,5.240858
3.590000,-2.320587,-3.855202,1.106897,-0.029103,5.201225,5.247884
3.600000,-2.298627,-3.811536,1.102895,-0.025260,5.250211,5.254068
3.610000,-2.276504,-3.767952,1.099443,-0.021437,5.298797,5.254777
3.620000,-2.254242,-3.724438,1.096530,-0.017715,5.347010,5.245364
