# time_s,x_m,y_m,psi_rad,kappa_rad,vx_mps,vy_mps,psi_rate_radps
2.350000,0.313750,-5.421778,-2.048035,-0.276091,4.862781,-0.000237,-1.349776
2.360000,0.291003,-5.465043,-2.061682,-0.282262,4.828589,-0.000246,-1.379900
2.370000,0.267661,-5.507991,-2.075633,-0.288484,4.794655,-0.000256,-1.410420
2.380000,0.243716,-5.550605,-2.089891,-0.294774,4.760987,-0.000266,-1.441399
2.390000,0.219159,-5.592869,-2.104461,-0.301160,4.727605,-0.000271,-1.472856
2.400000,0.193983,-5.634766,-2.119348,-0.307669,4.694524,-0.000264,-1.504788
2.410000,0.168179,-5.676281,-2.134557,-0.314324,4.661759,-0.000248,-1.537172
2.420000,0.141740,-5.717394,-2.150091,-0.321107,4.629297,-0.000241,-1.569974
2.430000,0.114659,-5.758087,-2.165956,-0.327979,4.597108,-0.000248,-1.603185
2.440000,0.086929,-5.798339,-2.182155,-0.334903,4.565166,-0.000266,-1.636777
2.450000,0.058544,-5.838133,-2.198692,-0.341840,4.533441,-0.000264,-1.670443
2.460000,0.029499,-5.877447,-2.215564,-0.348748,4.501893,-0.000232,-1.703742
2.470000,-0.000212,-5.916261,-2.232767,-0.355584,4.470472,-0.000207,-1.736508
2.480000,-0.030592,-5.954552,-2.250294,-0.362302,4.439130,-0.000236,-1.768805
2.490000,-0.061645,-5.992300,-2.268143,-0.368874,4.407827,-0.000351,-1.801570
2.500000,-0.093375,-6.029482,-2.286325,-0.375468,4.376633,-0.000494,-1.836289
2.510000,-0.125782,-6.066074,-2.304868,-0.382391,4.345700,-0.000563,-1.873592
2.520000,-0.158869,-6.102053,-2.323797,-0.389954,4.315179,-0.000465,-1.913412
2.530000,-0.192637,-6.137394,-2.343137,-0.398437,4.285214,-0.000169,-1.954270
2.540000,-0.227087,-6.172071,-2.362883,-0.407574,4.255764,0.000166,-1.993574
2.550000,-0.262219,-6.206056,-2.383008,-0.416633,4.226630,0.000311,-2.030092
2.560000,-0.298033,-6.239320,-2.403485,-0.424867,4.197610,0.000096,-2.063816
2.570000,-0.334530,-6.271835,-2.424284,-0.431563,4.168503,-0.000397,-2.095495
2.580000,-0.371704,-6.303573,-2.445394,-0.436774,4.139130,-0.000784,-2.126597
2.590000,-0.409545,-6.334513,-2.466816,-0.441350,4.109330,-0.000844,-2.157898
2.600000,-0.448045,-6.364629,-2.488552,-0.446175,4.078948,-0.000607,-2.189418
2.610000,-0.487192,-6.393899,-2.510605,-0.452111,4.047831,-0.000164,-2.220684
2.620000,-0.526977,-6.422296,-2.532966,-0.459269,4.016027,0.000272,-2.250662
2.630000,-0.567389,-6.449792,-2.555618,-0.466827,3.983830,0.000475,-2.278744
2.640000,-0.608415,-6.476361,-2.578541,-0.473904,3.951553,0.000291,-2.304906
2.650000,-0.650045,-6.501972,-2.601716,-0.479633,3.919497,-0.000242,-2.329858
2.660000,-0.692263,-6.526602,-2.625138,-0.483886,3.887612,-0.000754,-2.355338
2.670000,-0.735051,-6.550227,-2.648823,-0.487652,3.855310,-0.000938,-2.382476
2.680000,-0.778390,-6.572826,-2.672788,-0.492005,3.821962,-0.000756,-2.411384
2.690000,-0.822260,-6.594378,-2.697051,-0.498021,3.786944,-0.000475,-2.444535
2.700000,-0.866642,-6.614854,-2.721678,-0.506524,3.750286,-0.000654,-2.488827
2.710000,-0.911520,-6.634216,-2.746827,-0.517882,3.713213,-0.001195,-2.549183
2.720000,-0.956879,-6.652424,-2.772662,-0.532414,3.677070,-0.001420,-2.626063
2.730000,-1.002701,-6.669439,-2.799348,-0.550436,3.643203,-0.000857,-2.716844
2.740000,-1.048969,-6.685214,-2.826999,-0.571672,3.612339,0.000099,-2.813141
2.750000,-1.095658,-6.699689,-2.855611,-0.594528,3.583830,0.000625,-2.908396
2.760000,-1.142746,-6.712802,-2.885167,-0.617234,3.556848,0.000426,-3.001837
2.770000,-1.190207,-6.724489,-2.915648,-0.638021,3.530564,-0.000458,-3.093728
2.780000,-1.238013,-6.734691,-2.947041,-0.655909,3.504542,-0.001341,-3.185060
2.790000,-1.286120,-6.743360,-2.979349,-0.672061,3.479422,-0.001658,-3.276677
2.800000,-1.334485,-6.750448,-3.012575,-0.688000,3.456025,-0.001465,-3.368702
2.810000,-1.383061,-6.755908,-3.046723,-0.705246,3.435170,-0.000935,-3.461365
2.820000,-1.431799,-6.759690,-3.081802,-0.724813,3.417373,-0.000365,-3.555674
2.830000,-1.480640,-6.761742,-3.117837,-0.745996,3.402126,-0.000042,310.506699
2.840000,-1.529518,-6.762011,3.128332,-0.767734,3.388709,-0.000116,310.407062
2.850000,-1.578370,-6.760443,3.090305,-0.788965,3.376402,-0.000359,-3.851509
2.860000,-1.627130,-6.756993,3.051302,-0.808429,3.364597,0.000424,-3.934642
2.870000,-1.675719,-6.751638,3.011612,-0.824032,3.353153,0.002107,-3.985522
2.880000,-1.724054,-6.744365,2.971591,-0.833468,3.342050,0.002934,-4.000837
2.890000,-1.772054,-6.735161,2.931595,-0.834430,3.331271,0.001179,-3.984961
2.900000,-1.819638,-6.724017,2.891892,-0.825884,3.320886,-0.002689,-3.964791
2.910000,-1.866734,-6.710960,2.852299,-0.813358,3.311437,-0.005758,-3.970085
2.920000,-1.913274,-6.696026,2.812490,-0.804487,3.303617,-0.006160,-4.008076
2.930000,-1.959189,-6.679254,2.772138,-0.806904,3.298119,-0.002953,-4.076615
2.940000,-2.004406,-6.660674,2.730958,-0.826493,3.295453,0.002254,-4.159719
2.950000,-2.048825,-6.640277,2.688943,-0.857881,3.294970,0.005875,-4.238094
2.960000,-2.092340,-6.618039,2.646196,-0.891247,3.295558,0.006094,-4.306264
2.970000,-2.134843,-6.593937,2.602818,-0.916759,3.296107,0.002535,-4.363073
2.980000,-2.176227,-6.567954,2.558935,-0.925744,3.295665,-0.001559,-4.398182
2.990000,-2.216420,-6.540142,2.514854,-0.918886,3.294563,-0.002594,-4.397943
3.000000,-2.255360,-6.510587,2.470976,-0.901390,3.293752,-0.001178,-4.357879
3.010000,-2.292986,-6.479375,2.427697,-0.878491,3.294190,0.000350,-4.279270
3.020000,-2.329242,-6.446591,2.385390,-0.855122,3.296788,0.000732,-4.176876
3.030000,-2.364094,-6.412323,2.344159,-0.833118,3.301998,0.000639,-4.072060
3.040000,-2.397523,-6.376664,2.303949,-0.812488,3.310003,0.000638,-3.972833
3.050000,-2.429513,-6.339704,2.264703,-0.793218,3.320983,0.000697,-3.879292
3.060000,-2.460044,-6.301534,2.226363,-0.775292,3.335082,0.000726,-3.791414
3.070000,-2.489106,-6.262236,2.188874,-0.758634,3.352008,0.000689,-3.709158
3.080000,-2.516692,-6.221886,2.152180,-0.743124,3.371153,0.000626,-3.632505
3.090000,-2.542795,-6.180558,2.116224,-0.728642,3.391904,0.000564,-3.561414
3.100000,-2.567410,-6.138329,2.080952,-0.715070,3.413661,0.000530,-3.495081
3.110000,-2.590533,-6.095267,2.046323,-0.702273,3.436088,0.000534,-3.432094
3.120000,-2.612166,-6.051436,2.012310,-0.690109,3.459071,0.000546,-3.371776
